Field
"HYDRA-0048"
"HYDRA-0043"
"SPLUS-n16s04"
"HYDRA-0025"
"SPLUS-n17s05"
"HYDRA-0063"
"HYDRA-0065"
"HYDRA-0045"
"HYDRA-0057"
"HYDRA-0076"
"HYDRA-0089"
"HYDRA-0069"
"HYDRA-0030"
"HYDRA-0049"
"SPLUS-n17s08"
"HYDRA-0092"
"HYDRA-0013"
"HYDRA-0050"
"HYDRA-0047"
"HYDRA-0082"
"HYDRA-D-0003"
"SPLUS-n17s03"
"HYDRA-0058"
"SPLUS-n16s09"
"HYDRA-0033"
"HYDRA-0023"
"HYDRA-0059"
"HYDRA-0027"
"HYDRA-0061"
"HYDRA-0026"
"HYDRA-0024"
"HYDRA-0088"
"SPLUS-n17s11"
"HYDRA-0078"
"HYDRA-0029"
"HYDRA-0017"
"HYDRA-0067"
"HYDRA-0093"
"HYDRA-0042"
"HYDRA-0022"
"HYDRA-0080"
"HYDRA-0021"
"SPLUS-n17s02"
"HYDRA-D-0002"
"HYDRA-0044"
"SPLUS-n16s08"
"HYDRA-0053"
"HYDRA-0085"
"HYDRA-0055"
"SPLUS-n16s06"
"HYDRA-0015"
"HYDRA-0074"
"HYDRA-0036"
"HYDRA-D-0001"
"HYDRA-0034"
"SPLUS-n16s03"
"SPLUS-n18s10"
"SPLUS-n16s05"
"SPLUS-n19s03"
"HYDRA-0031"
"HYDRA-0014"
"HYDRA-0066"
"HYDRA-0064"
"HYDRA-0075"
"HYDRA-0016"
"HYDRA-0071"
"HYDRA-0035"
"HYDRA-0070"
"HYDRA-0046"
"HYDRA-0032"
"HYDRA-0028"
"SPLUS-n17s07"
"HYDRA-0054"
"HYDRA-0039"
"HYDRA-0081"
"SPLUS-n16s07"
"HYDRA-0012"
"HYDRA-0018"
"HYDRA-0051"
"HYDRA-0041"
"HYDRA-0038"
"HYDRA-0040"
"HYDRA-0073"
"HYDRA-0072"
"SPLUS-n17s04"
"SPLUS-n18s12"
"HYDRA-0060"
"HYDRA-0084"
"SPLUS-n16s10"
"HYDRA-0056"
"HYDRA-0094"
"HYDRA-0091"
"HYDRA-0020"
"SPLUS-n18s11"
"HYDRA-0052"
"HYDRA-0037"
"SPLUS-n17s09"
"SPLUS-n17s10"
"HYDRA-0011"
"SPLUS-n19s01"
"HYDRA-0079"
"SPLUS-n17s06"
"HYDRA-0068"
"HYDRA-0019"
"HYDRA-0083"
"HYDRA-0062"
"HYDRA-D-0004"
